ICAO,Registration,ADSB,Airworthiness,Operations,Manufacturer,Model,"Time From","Time To",Positions,"Min Dist","Max Dist","Min RSSI","Max RSSI","Avg RSSI"
A0052E,N100EX,A1,Standard,Normal,"EMBRAER-EMPRESA BRASILEIRA DE",EMB-500,"2025-05-16 09:48:58","2025-05-16 10:12:29",30,106,173,-25.6,-19.9,-23.56000
A0052E,N100EX,A1,Standard,Normal,"EMBRAER-EMPRESA BRASILEIRA DE",EMB-500,"2025-05-16 13:03:12","2025-05-16 13:29:44",19,132,157,-26.5,-21.5,-24.13158
A00B37,N1013L,NULL,Standard,Normal,MOONEY,M20R,"2025-05-16 11:27:35","2025-05-16 11:28:05",2,81,81,-23.6,-23.6,-23.60000
A010C4,N103KK,A1,Standard,Commuter,"TEXTRON AVIATION INC",525B,"2025-05-16 12:43:11","2025-05-16 12:54:11",23,92,98,-23.8,-18.9,-21.78696
A01180,N103SY,A3,Standard,Transport,"EMBRAER S A","ERJ 170-200 LL","2025-05-16 06:30:13","2025-05-16 06:34:13",9,114,135,-25.2,-22.0,-23.73333
A01616,N1041L,A1,Standard,Normal,CESSNA,208B,"2025-05-16 07:38:18","2025-05-16 07:43:48",12,5,15,-23.8,-10.2,-17.80000
A01B28,N106BS,A1,Standard,Normal,CESSNA,T182T,"2025-05-16 11:08:34","2025-05-16 13:06:42",141,31,57,-24.7,-9.8,-20.08865
A027FA,N109UW,A3,Standard,Transport,"AIRBUS INDUSTRIE",A320-214,"2025-05-16 07:43:48","2025-05-16 08:07:20",32,136,175,-25.2,-18.4,-23.62813
A027FA,N109UW,A3,Standard,Transport,"AIRBUS INDUSTRIE",A320-214,"2025-05-16 12:38:10","2025-05-16 13:06:12",57,8,140,-24.8,-3.3,-12.37193
A02A1C,N11CR,A1,Standard,Normal,"EMBRAER SA",EMB-500,"2025-05-16 12:57:42","2025-05-16 13:29:44",62,1,76,-24.8,-3.4,-10.57258
A02A2C,N11DG,A1,Standard,Utility,"EPIC AIRCRAFT LLC",E1000,"2025-05-16 17:28:32","2025-05-16 17:32:02",5,98,100,-25.6,-21.8,-23.54000
A02B1C,N11NX,A1,Standard,Normal,"PILATUS AIRCRAFT LTD",PC-12/47E,"2025-05-16 09:07:25","2025-05-16 09:37:27",57,66,104,-24.4,-13.6,-20.11754
A0311D,N111NG,A3,Standard,Transport,"C SERIES AIRCRAFT LTD PTNRSP",BD-500-1A10,"2025-05-16 08:18:51","2025-05-16 09:06:54",97,66,167,-25.5,-4.2,-17.98041
A03E5D,N1147A,A1,Standard,Normal,MOONEY,M20J,"2025-05-16 08:10:20","2025-05-16 08:51:23",76,46,66,-25.5,-9.7,-19.84868
A03F1E,N115DN,A3,Standard,Transport,AIRBUS,A321-211,"2025-05-16 13:15:43","2025-05-16 13:29:44",22,121,155,-24.5,-14.7,-21.92273
A0461D,N1169N,A1,Standard,Normal,MOONEY,M20J,"2025-05-16 10:37:01","2025-05-16 11:10:34",67,16,46,-24.1,-2.0,-14.01642
A04695,N117DX,A3,Standard,Transport,AIRBUS,A321-211,"2025-05-16 08:33:22","2025-05-16 08:37:22",4,184,186,-22.6,-22.3,-22.45000
A04B92,N118SY,A3,Standard,Transport,"EMBRAER S A","ERJ 170-200 LR","2025-05-16 10:37:31","2025-05-16 10:43:32",8,150,159,-24.8,-21.5,-22.78750
A04E2B,N119FM,A2,Standard,Transport,"GULFSTREAM AEROSPACE",G-IV,"2025-05-16 11:19:34","2025-05-16 11:42:36",39,94,160,-25.2,-10.3,-20.98974
A04F49,N119SY,A3,Standard,Transport,"EMBRAER S A","ERJ 170-200 LR","2025-05-16 07:47:19","2025-05-16 08:03:20",24,148,159,-25.6,-22.4,-24.14583
A052DC,N12RM,A1,Standard,Normal,CESSNA,510,"2025-05-16 07:09:46","2025-05-16 07:46:18",68,130,171,-26.0,-15.9,-21.76471
A052DC,N12RM,A1,Standard,Normal,CESSNA,510,"2025-05-16 16:44:29","2025-05-16 17:13:31",56,89,136,-25.6,-14.9,-21.16607
A0540A,N120DN,A3,Standard,Transport,AIRBUS,A321-211,"2025-05-16 11:14:34","2025-05-16 11:16:04",4,174,174,-25.5,-23.2,-24.42500
A0540A,N120DN,A3,Standard,Transport,AIRBUS,A321-211,"2025-05-16 16:30:28","2025-05-16 16:58:30",57,4,136,-25.3,-3.3,-15.09825
